run_id,retriever,chunking_strategy,k,recall_at_k,ndcg_at_10,mrr_at_10,index_time,query_latency,num_queries_total,num_queries_scored
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,1,0.517888888888889,0.6744202527696755,0.63255291005291,724.0234477000195,2.0384466998220887,300,300
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,5,0.7461666666666666,0.6744202527696755,0.63255291005291,724.0234477000195,2.0384466998220887,300,300
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,10,0.8222222222222222,0.6744202527696755,0.63255291005291,724.0234477000195,2.0384466998220887,300,300
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,fixed_window,20,0.854,0.6744202527696755,0.63255291005291,724.0234477000195,2.0384466998220887,300,300
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,fixed_window,1,0.5665,0.710613387660282,0.6774682539682539,1370.8913049999974,3.3836502996564377,300,300
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,fixed_window,5,0.7811111111111111,0.710613387660282,0.6774682539682539,1370.8913049999974,3.3836502996564377,300,300
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,fixed_window,10,0.8302222222222222,0.710613387660282,0.6774682539682539,1370.8913049999974,3.3836502996564377,300,300
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,fixed_window,20,0.8803333333333334,0.710613387660282,0.6774682539682539,1370.8913049999974,3.3836502996564377,300,300
bm25__sentence_window,bm25,sentence_window,1,0.4608333333333333,0.6102311298714173,0.5709920634920634,0.9600407999823801,22.716880899941316,300,300
bm25__sentence_window,bm25,sentence_window,5,0.68,0.6102311298714173,0.5709920634920634,0.9600407999823801,22.716880899941316,300,300
bm25__sentence_window,bm25,sentence_window,10,0.7563333333333333,0.6102311298714173,0.5709920634920634,0.9600407999823801,22.716880899941316,300,300
bm25__sentence_window,bm25,sentence_window,20,0.8076666666666668,0.6102311298714173,0.5709920634920634,0.9600407999823801,22.716880899941316,300,300
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,sentence_window,1,0.5083333333333333,0.6627112558924702,0.624734126984127,395.1720428999979,1.9287179000093602,300,300
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,sentence_window,5,0.7337777777777778,0.6627112558924702,0.624734126984127,395.1720428999979,1.9287179000093602,300,300
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,sentence_window,10,0.7997222222222222,0.6627112558924702,0.624734126984127,395.1720428999979,1.9287179000093602,300,300
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,sentence_window,20,0.8596666666666666,0.6627112558924702,0.624734126984127,395.1720428999979,1.9287179000093602,300,300
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,sentence_window,1,0.5698333333333333,0.7143138582655858,0.6767936507936507,787.8559255999862,3.0643425002053846,300,300
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,sentence_window,5,0.771,0.7143138582655858,0.6767936507936507,787.8559255999862,3.0643425002053846,300,300
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,sentence_window,10,0.8428888888888889,0.7143138582655858,0.6767936507936507,787.8559255999862,3.0643425002053846,300,300
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,sentence_window,20,0.8796666666666666,0.7143138582655858,0.6767936507936507,787.8559255999862,3.0643425002053846,300,300
